theta,realPhi,imagPhi,absPhi
-7.937701461401235,0.0028398729757208073,0.015734192561366316,0.01598842375208965
-7.616375851615887,0.005911982322822281,0.015752696899219217,0.01682554589260134
-7.2869787253939275,0.007968361305883256,0.010117652660787497,0.012878729644861633
-6.949859164038276,0.0029718485415924853,0.0066561502114527524,0.007289459471839315
-6.605374432762783,0.000454781467464914,0.008324419049026376,0.008336832653168872
-6.253889602077978,0.0008723743602667039,0.009291723356897269,0.009332585920609624
-5.895777160904999,0.0032183564594129564,0.008799557279165357,0.00936963321636216
-5.531416621827727,0.007084238698138321,0.008395628760372649,0.010985127227947655
-5.1611941189014745,0.015764553413511507,0.012244927997682101,0.019961447993466712
-4.785501998444474,0.016510444676259037,0.03097641298753924,0.03510175130933498
-4.404738403245835,-0.014846424944576869,0.041300480683819,0.04388788031278636
-4.0193068506306195,-0.044701769942860126,-0.004477274567867325,0.04492542958704418
-3.6296158048291787,0.004081535967449779,-0.07124303903684666,0.07135985949439112
-3.236078244103956,0.10681710150784707,-0.07736881468159901,0.13189323962877444
-2.839111223092493,0.22998374877435732,-0.028875107909237557,0.23178933659052742
-2.4391354308304445,0.35296317354686846,0.03688819053756851,0.35488553151884444
-2.036574744923014,0.48037545860247377,0.08461357851726842,0.4877704776808811
-1.6318557823372575,0.6211019049522394,0.10468803451575118,0.6298628111788088
-1.2254074472913308,0.7620102045812606,0.08949358384960647,0.767247452544628
-0.8176604767197887,0.8829952229499235,0.05319613228193985,0.8845961746707606
-0.4090469837966546,0.966783494476081,0.014525864174735845,0.9668926134382274
-1.9277964957956247e-91,1.0,-7.505743393114467e-18,1.0
0.4090469837966546,0.9763815943607626,0.017186420207821,0.9765328416628006
0.8176604767197887,0.8978213413857711,0.05800805542671225,0.8996933341656665
1.2254074472913308,0.77691942311216,0.09501234256706233,0.7827075668785962
1.6318557823372575,0.6331328921078508,0.10906217623545224,0.6424576385677614
2.036574744923014,0.48890083981921445,0.08671152421847084,0.4965308848482878
2.4391354308304445,0.3582361594763426,0.03687150975510319,0.3601286633801595
2.839111223092493,0.23273230606613934,-0.029891711817228796,0.23464407242082083
3.236078244103956,0.10796310431806352,-0.07880624651607569,0.1336654644399426
3.6296158048291787,0.0037878856705566085,-0.0724589232127489,0.07255786401903139
4.0193068506306195,-0.04537898732306904,-0.004599778750494369,0.04561151669283494
4.404738403245835,-0.01495916607464803,0.04162118315557305,0.04422781406443979
4.785501998444474,0.01667030090432708,0.031078128797850896,0.035266826080845685
5.1611941189014745,0.015846769887203,0.0122528595055907,0.020031292567423305
5.531416621827727,0.007175532625395749,0.00842799909182383,0.011068849856688007
5.895777160904999,0.0032946251718869927,0.00881661552862971,0.009412080769038583
6.253889602077978,0.0009226101227156415,0.009306981261813861,0.009352599085082805
6.605374432762783,0.0004580183431039064,0.008318607050822567,0.00833120663941392
6.949859164038276,0.002988706363054572,0.006609130796702451,0.007253480241407132
7.2869787253939275,0.008038858875394501,0.010081750924131848,0.01289437682537401
7.616375851615887,0.0059710697014765755,0.015797997239567985,0.01688876520534551
7.937701461401235,0.0028249654109773177,0.01575993495614585,0.016011120491557302
8.250615027299146,0.004138735913669955,0.015340506029305114,0.015888998086671418
8.554784936586861,0.006505512589930777,0.01633811721972442,0.017585669402760972
8.849888842697998,0.009223114815788037,0.01699215338140737,0.019333885368504767
9.135614006830664,0.0117988846307575,0.018558469354943274,0.02199159983558027
9.411657629373268,0.013168995263353866,0.019910322658883185,0.023871392599240492
9.677727170796633,0.012503512616418444,0.019112204206630044,0.022838874258265498
9.933540661672094,0.01139461967279997,0.0171905895508553,0.020624105473783235
10.178827001486756,0.010024802746422984,0.015594516283619561,0.01853875961936951
10.413326245938679,0.00844768918495728,0.013972661224592682,0.01632785087704074
10.636789882406799,0.007113801694113159,0.012954638771759315,0.014779338288635825
10.84898109330242,0.005787593404537522,0.01214402244428672,0.013452639835496443
11.049675007021266,0.004494651728929691,0.011832425897364657,0.01265733766559921
11.238658936226962,0.004556824828728435,0.012033269717524001,0.012867176559540795
11.415732603207953,0.004596294003530665,0.011662706090515403,0.01253573419950491
11.580708352059538,0.0040515571398808525,0.010235419667309158,0.01100813022377818
11.733411347448696,0.003241086186002808,0.009990252426739694,0.01050284643394716
11.873679759717737,0.00273021463714142,0.010187749689625106,0.010547242089917046
12.001364936063585,0.0023204263782899753,0.010544773003026397,0.010797065168943748
12.116331557467774,0.0020562004486103075,0.010214455499217028,0.010419359933813124
12.218457780880538,0.0022919810266840606,0.01070786312463244,0.010950411395127715
12.307635365676125,0.0023734136392427477,0.010451568920458409,0.01071766696637079
12.383769781897918,0.0021820850675495986,0.010386204811853116,0.010612951787122363
12.446780292506226,0.0020209537696633064,0.009699208832322259,0.009907517656411945
12.496599978853657,0.0017208568647044283,0.009121300583885389,0.009282212704435742
12.533175543730428,0.001636731635376229,0.008410263868115159,0.008568046964014886
12.556465392869734,0.0013625660804864035,0.0079129130798323,0.008029369821640622
12.566370614359172,0.0,0.0,0.0
